project,file_path,path_depth,lines_valid,lines_covered,line_rate,branches_valid,branches_covered,branch_rate,coverage_density,branch_to_line_ratio,num_functions,num_classes,num_imports,num_conditionals,num_loops,num_try_except
sqlalchemy,lib\sqlalchemy\dialects\oracle\base.py,4,1179,0,0.0,0,0,0.0,0.0,0.0,143,7,61,187,22,5
sqlalchemy,lib\sqlalchemy\dialects\oracle\cx_oracle.py,4,448,0,0.0,0,0,0.0,0.0,0.0,67,29,18,70,3,1
sqlalchemy,lib\sqlalchemy\dialects\oracle\dictionary.py,4,31,0,0.0,0,0,0.0,0.0,0.0,0,0,10,0,0,0
sqlalchemy,lib\sqlalchemy\dialects\oracle\oracledb.py,4,190,0,0.0,0,0,0.0,0.0,0.0,39,8,17,17,1,1
sqlalchemy,lib\sqlalchemy\dialects\oracle\types.py,4,115,0,0.0,0,0,0.0,0.0,0.0,24,16,12,7,0,0
sqlalchemy,lib\sqlalchemy\dialects\oracle\vector.py,4,112,0,0.0,0,0,0.0,0.0,0.0,12,8,9,13,1,0
sqlalchemy,lib\sqlalchemy\dialects\postgresql\__init__.py,4,86,0,0.0,0,0,0.0,0.0,0.0,0,0,83,0,0,0
sqlalchemy,lib\sqlalchemy\dialects\postgresql\_psycopg_common.py,4,104,0,0.0,0,0,0.0,0.0,0.0,13,9,16,15,0,1
sqlalchemy,lib\sqlalchemy\dialects\postgresql\array.py,4,114,0,0.0,0,0,0.0,0.0,0.0,21,3,31,14,1,0
sqlalchemy,lib\sqlalchemy\dialects\postgresql\asyncpg.py,4,600,0,0.0,0,0,0.0,0.0,0.0,86,57,48,55,4,8
sqlalchemy,lib\sqlalchemy\dialects\postgresql\base.py,4,1534,0,0.0,0,0,0.0,0.0,0.0,207,14,89,236,22,4
sqlalchemy,lib\sqlalchemy\dialects\postgresql\bitstring.py,4,122,0,0.0,0,0,0.0,0.0,0.0,29,1,6,21,0,0
sqlalchemy,lib\sqlalchemy\dialects\postgresql\dml.py,4,100,0,0.0,0,0,0.0,0.0,0.0,7,4,31,13,0,0
sqlalchemy,lib\sqlalchemy\dialects\postgresql\ext.py,4,149,0,0.0,0,0,0.0,0.0,0.0,17,10,31,13,2,0
sqlalchemy,lib\sqlalchemy\dialects\postgresql\hstore.py,4,132,0,0.0,0,0,0.0,0.0,0.0,22,10,11,11,1,0
sqlalchemy,lib\sqlalchemy\dialects\postgresql\json.py,4,86,0,0.0,0,0,0.0,0.0,0.0,15,6,29,8,0,0
sqlalchemy,lib\sqlalchemy\dialects\postgresql\named_types.py,4,164,0,0.0,0,0,0.0,0.0,0.0,24,13,21,19,0,0
sqlalchemy,lib\sqlalchemy\dialects\postgresql\operators.py,4,20,0,0.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0
sqlalchemy,lib\sqlalchemy\dialects\postgresql\pg8000.py,4,305,0,0.0,0,0,0.0,0.0,0.0,57,30,24,22,2,4
sqlalchemy,lib\sqlalchemy\dialects\postgresql\pg_catalog.py,4,72,0,0.0,0,0,0.0,0.0,0.0,2,5,23,2,0,0
sqlalchemy,lib\sqlalchemy\dialects\postgresql\psycopg2.py,4,191,0,0.0,0,0,0.0,0.0,0.0,34,11,18,21,3,0
sqlalchemy,lib\sqlalchemy\dialects\postgresql\psycopg2cffi.py,4,19,0,0.0,0,0,0.0,0.0,0.0,3,1,2,0,0,0
sqlalchemy,lib\sqlalchemy\dialects\postgresql\psycopg.py,4,349,0,0.0,0,0,0.0,0.0,0.0,65,27,42,30,2,1
sqlalchemy,lib\sqlalchemy\dialects\postgresql\ranges.py,4,446,0,0.0,0,0,0.0,0.0,0.0,47,20,34,80,0,0
sqlalchemy,lib\sqlalchemy\dialects\postgresql\types.py,4,131,0,0.0,0,0,0.0,0.0,0.0,26,19,20,7,0,0
sqlalchemy,lib\sqlalchemy\dialects\sqlite\__init__.py,4,24,0,0.0,0,0,0.0,0.0,0.0,0,0,22,0,0,0
sqlalchemy,lib\sqlalchemy\dialects\sqlite\aiosqlite.py,4,131,0,0.0,0,0,0.0,0.0,0.0,19,6,26,10,3,4
sqlalchemy,lib\sqlalchemy\dialects\sqlite\base.py,4,808,0,0.0,0,0,0.0,0.0,0.0,89,11,44,134,18,6
sqlalchemy,lib\sqlalchemy\dialects\sqlite\dml.py,4,75,0,0.0,0,0,0.0,0.0,0.0,7,4,29,4,0,0
sqlalchemy,lib\sqlalchemy\dialects\sqlite\json.py,4,30,0,0.0,0,0,0.0,0.0,0.0,7,4,1,3,0,0
sqlalchemy,lib\sqlalchemy\dialects\sqlite\provision.py,4,126,0,0.0,0,0,0.0,0.0,0.0,16,0,19,17,4,1
sqlalchemy,lib\sqlalchemy\dialects\sqlite\pysqlcipher.py,4,38,0,0.0,0,0,0.0,0.0,0.0,5,1,4,2,1,1
sqlalchemy,lib\sqlalchemy\dialects\sqlite\pysqlite.py,4,175,0,0.0,0,0,0.0,0.0,0.0,29,7,32,21,3,0
sqlalchemy,lib\sqlalchemy\engine\__init__.py,3,45,0,0.0,0,0,0.0,0.0,0.0,0,0,45,0,0,0
sqlalchemy,lib\sqlalchemy\engine\_processors_cy.py,3,54,0,0.0,0,0,0.0,0.0,0.0,9,1,8,7,0,1
sqlalchemy,lib\sqlalchemy\engine\_result_cy.py,3,346,0,0.0,0,0,0.0,0.0,0.0,34,2,30,57,10,3
sqlalchemy,lib\sqlalchemy\engine\_row_cy.py,3,117,0,0.0,0,0,0.0,0.0,0.0,22,1,19,11,2,1
sqlalchemy,lib\sqlalchemy\engine\_util_cy.py,3,59,0,0.0,0,0,0.0,0.0,0.0,7,0,16,12,1,1
sqlalchemy,lib\sqlalchemy\engine\base.py,3,943,0,0.0,0,0,0.0,0.0,0.0,134,9,68,156,12,31
sqlalchemy,lib\sqlalchemy\engine\characteristics.py,3,40,0,0.0,0,0,0.0,0.0,0.0,13,3,8,2,0,0
sqlalchemy,lib\sqlalchemy\engine\create.py,3,145,0,0.0,0,0,0.0,0.0,0.0,11,0,34,27,9,1
sqlalchemy,lib\sqlalchemy\engine\cursor.py,3,728,0,0.0,0,0,0.0,0.0,0.0,98,10,61,89,12,13
sqlalchemy,lib\sqlalchemy\engine\default.py,3,1013,0,0.0,0,0,0.0,0.0,0.0,107,3,86,157,12,13
sqlalchemy,lib\sqlalchemy\engine\events.py,3,100,0,0.0,0,0,0.0,0.0,0.0,30,2,31,13,0,0
sqlalchemy,lib\sqlalchemy\engine\interfaces.py,3,656,0,0.0,0,0,0.0,0.0,0.0,126,28,61,2,0,0
sqlalchemy,lib\sqlalchemy\engine\mock.py,3,38,0,0.0,0,0,0.0,0.0,0.0,7,1,20,2,1,0
sqlalchemy,lib\sqlalchemy\engine\processors.py,3,33,0,0.0,0,0,0.0,0.0,0.0,2,0,14,4,0,1
sqlalchemy,lib\sqlalchemy\engine\reflection.py,3,502,0,0.0,0,0,0.0,0.0,0.0,65,5,44,52,17,6
sqlalchemy,lib\sqlalchemy\engine\result.py,3,516,0,0.0,0,0,0.0,0.0,0.0,145,14,48,35,5,5
sqlalchemy,lib\sqlalchemy\engine\row.py,3,117,0,0.0,0,0,0.0,0.0,0.0,33,5,24,4,0,0
sqlalchemy,lib\sqlalchemy\engine\url.py,3,251,0,0.0,0,0,0.0,0.0,0.0,32,1,25,48,7,1
sqlalchemy,lib\sqlalchemy\engine\util.py,3,78,0,0.0,0,0,0.0,0.0,0.0,12,2,11,9,0,3
sqlalchemy,lib\sqlalchemy\event\__init__.py,3,18,0,0.0,0,0,0.0,0.0,0.0,0,0,18,0,0,0
sqlalchemy,lib\sqlalchemy\event\api.py,3,28,0,0.0,0,0,0.0,0.0,0.0,6,0,9,1,1,0
sqlalchemy,lib\sqlalchemy\event\attr.py,3,349,0,0.0,0,0,0.0,0.0,0.0,76,9,36,28,7,3
sqlalchemy,lib\sqlalchemy\event\base.py,3,209,0,0.0,0,0,0.0,0.0,0.0,38,8,24,14,9,3
sqlalchemy,lib\sqlalchemy\event\legacy.py,3,78,0,0.0,0,0,0.0,0.0,0.0,11,0,15,9,2,0
sqlalchemy,lib\sqlalchemy\event\registry.py,3,176,0,0.0,0,0,0.0,0.0,0.0,17,2,20,22,4,2
sqlalchemy,lib\sqlalchemy\ext\__init__.py,3,2,0,0.0,0,0,0.0,0.0,0.0,0,0,1,0,0,0
