project,file_path,path_depth,lines_valid,lines_covered,line_rate,branches_valid,branches_covered,branch_rate,coverage_density,branch_to_line_ratio,num_functions,num_classes,num_imports,num_conditionals,num_loops,num_try_except
flask,tests\test_user_error_handler.py,1,203,203,1.0,2,2,1.0,1.0,0.009852216748768473,44,8,6,2,0,0
flask,tests\test_views.py,1,177,168,0.9491525423728814,0,0,0.0,0.9491525423728814,0.0,42,22,3,0,0,0
flask,tests\test_apps\blueprintapp\__init__.py,3,7,7,1.0,0,0,0.0,1.0,0.0,0,0,3,0,0,0
flask,tests\test_apps\blueprintapp\apps\__init__.py,4,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0
flask,tests\test_apps\blueprintapp\apps\admin\__init__.py,5,9,9,1.0,0,0,0.0,1.0,0.0,2,0,2,0,0,0
flask,tests\test_apps\blueprintapp\apps\frontend\__init__.py,5,9,9,1.0,0,0,0.0,1.0,0.0,2,0,2,0,0,0
flask,tests\test_apps\cliapp\__init__.py,3,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0
flask,tests\test_apps\cliapp\app.py,3,2,2,1.0,0,0,0.0,1.0,0.0,0,0,1,0,0,0
flask,tests\test_apps\cliapp\factory.py,3,7,7,1.0,0,0,0.0,1.0,0.0,3,0,1,0,0,0
flask,tests\test_apps\cliapp\importerrorapp.py,3,2,2,1.0,0,0,0.0,1.0,0.0,0,0,1,0,0,0
flask,tests\test_apps\helloworld\hello.py,3,5,4,0.8,0,0,0.0,0.8,0.0,1,0,1,0,0,0
flask,tests\test_apps\helloworld\wsgi.py,3,1,1,1.0,0,0,0.0,1.0,0.0,0,0,1,0,0,0
